URL,DSLD ID,Product Name,Brand Name,Bar Code,Net Contents,Serving Size,Product Type [LanguaL],Supplement Form [LanguaL],Date Entered into DSLD,Market Status,Suggested Use
https://dsld.od.nih.gov/label/6094,6094,Sublingual Dots High Potency B12 2500 mcg Natural Cherry Flavor,Sundown Naturals,0 30768 03988 2,50 Microlozenge(s),1 Microlozenge(s),Vitamin [A1302],Lozenge [E0174],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) MICROLOZENGE DAILY. Place microlozenge under tongue for 30 seconds before swallowing. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6095,6095,High Potency B1 100 mg,Sundown Naturals,0 30768 03985 1,100 Tablet(s),1 Tablet(s),Vitamin [A1302],Tablet or Pill [E0155],2012-02-23,On Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) TABLET DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6096,6096,Gentle Iron 28 mg,Sundown Naturals,0 30768 04015 4,90 Capsule(s),1 Capsule(s),Other Combinations [A1325],Capsule [E0159],2012-02-23,On Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) CAPSULE DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6097,6097,Maximum Strength Glucosamine HCl 1500 mg,Sundown Naturals,0 30768 04003 1,60 Caplet(s),2 Caplet(s),Other Combinations [A1325],Other (e.g. tea bag) [E0172],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE TWO (2) CAPLETS DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6098,6098,Vitamin A 10000 IU,Sundown Naturals,0 30768 03978 3,100 Softgel(s),1 Softgel(s),Vitamin [A1302],Softgel Capsule [E0161],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) SOFTGEL DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6099,6099,Whole Food Concentrate Multi,Sundown Naturals,0 30768 50091 7,90 Coated Tablet(s),3 Tablet(s),Other Combinations [A1325],Tablet or Pill [E0155],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE THREE (3) TABLETS DAILY; PREFERABLY WITH A MEAL. As a reminder; discuss the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6100,6100,True-Mass Chocolate Milk Shake,BSN,8 34266 00655 7,5.75 lb; 2610 g,145 Gram(s) [3 scoops],Amino acid/Protein [A1305],Powder [E0162],2012-02-23,Off Market,RECOMMENDED USE: As a dietary supplement; take 3 scoops with 16 oz. of cold water or beverage of choice. Vary the amount of liquid to achieve desired consistency. Drink 2-4 servings daily; or as needed to satisfy your protein or mass-gaining requirements. To increase your protein or calorie intake per serving and to achieve an amazing milk shake taste; use milk.
https://dsld.od.nih.gov/label/6101,6101,True-Mass Cookies & Cream,BSN,8 34266 00665 6,5.75 lb; 2610 g,145 Gram(s) [3 scoops],Amino acid/Protein [A1305],Powder [E0162],2012-02-23,Off Market,RECOMMENDED USE: As a dietary supplement; mix 3 scoops with 16 oz. of cold water or any beverage of your choice. Vary the amount of liquid to achieve desired consistency. Drink 2-4 servings daily; or as needed to satisfy your protein or mass-gaining requirements. To increase your protein and calorie intake per serving and to achieve an amazing milk shake taste; use milk.
https://dsld.od.nih.gov/label/6102,6102,True-Mass Vanilla Ice Cream,BSN,8 34266 00660 1,5.75 lb; 2610 g,145 Gram(s) [3 scoops],Amino acid/Protein [A1305],Powder [E0162],2012-02-23,Off Market,RECOMMENDED USE: As a dietary supplement; take 3 scoops with 16 oz. of cold water or beverage of choice. Vary the amount of liquid to achieve desired consistency. Drink 2-4 servings daily; or as needed to satisfy your protein or mass-gaining requirements. To increase your protein or calorie intake per serving and to achieve an amazing milk shake taste; use milk.
https://dsld.od.nih.gov/label/6103,6103,Triple Omega 3-6-9,Sundown Naturals,0 30768 04002 4,60 Softgel(s),1 Softgel(s),Other Combinations [A1325],Softgel Capsule [E0161],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) SOFTGEL THREE TIMES DAILY; PREFERABLY WITH MEALS. As a reminder; discuss  the supplements and medications you take with your health care providers.
https://dsld.od.nih.gov/label/6104,6104,Triple Omega 3-6-9,Sundown Naturals,0 30768 64427 7,200 Softgel(s),1 Softgel(s),Other Combinations [A1325],Softgel Capsule [E0161],2012-02-23,Off Market,DIRECTIONS: FOR ADULTS; TAKE ONE (1) SOFTGEL THREE TIMES DAILY; PREFERABLY WITH MEALS. As a reminder; discuss  the supplements and medications you take with your health care providers.
